id,seriesName,seriesImage,created_at,updated_at,planetName,mostViewed,old_cartoon
8025892f-743f-4274-8fee-ff0f1a57b488,ياكاري,https://i.imgur.com/blkwLvr.png,2024-08-20 07:48:22.297363+00,2024-08-20 07:48:22.297363+00,مغامرات,false,false
80b156e1-74ef-4748-b22d-e154f2ab2a4e,اسألوا لبيبه,https://i.imgur.com/pxvj5pu.png,2024-09-13 08:38:05.581058+00,2024-09-13 08:38:05.581058+00,زمردة,false,false
80e4d8d1-15ac-4a0d-b8e5-689f0d98c366,باكوغان الجزء 3,https://i.imgur.com/2XuovTu.jpeg,2024-09-09 09:54:08.661389+00,2024-09-09 09:54:08.661389+00,مغامرات,false,false
80eaf944-0a43-451b-95c7-fd4cf516737d,إيميلي فتاة الرياح,https://i.imgur.com/XfFOWd7.png,2024-08-20 15:57:39.091047+00,2024-07-20 15:57:39+00,زمردة,true,false
81434f35-b150-454b-bc16-6a7556f61b69,أليس في بلاد العجائب الجزء 2,https://i.imgur.com/IbW1kB4.jpeg,2024-08-27 17:58:44.791346+00,2024-08-27 17:58:44.791346+00,زمردة,true,false
81448223-6f47-4656-8be2-e4ce4f84cd6c,البؤساء,https://i.imgur.com/RVghbVk.jpeg,2024-09-04 18:27:54.926555+00,2024-09-04 18:27:54.926555+00,زمردة,true,false
81a31dfe-04d1-44b2-b00c-4d25d67195bf,بي بليد الموسم 1,https://i.imgur.com/j09U6CV.jpeg,2024-09-14 10:33:43.716326+00,2024-09-14 10:33:43.716326+00,رياضة,false,false
81a4daaa-6c25-4a02-8956-40ffda1cf38c,ارغاي الفارس النبيل,https://i.imgur.com/5BQKV81.png,2024-09-14 19:10:10.474247+00,2024-09-14 19:10:10.474247+00,مغامرات,false,false
81c2e4c4-39bd-4563-b5d0-1838fc091167,ويب دايفر,https://i.imgur.com/bH5khCq.png,2024-09-14 09:29:23.080782+00,2024-09-14 09:29:23.080782+00,مغامرات,false,false
821e2f3d-f886-49bb-b56d-c9587d2e2951,تشوسكي والآليون,https://i.imgur.com/D0uBgku.png,2024-09-03 17:38:18.005988+00,2024-09-03 17:38:18.005988+00,مغامرات,true,false
82e525f7-1e39-40ad-80e6-c89dfdbdcf7b,مغامرات نحول,https://i.imgur.com/7GUuZ0T.png,2024-09-05 07:36:19.337914+00,2024-09-05 07:36:19.337914+00,مغامرات,true,false
83479c6b-8151-4443-807c-a6666d1a6b5d,يوغي يو الوحوش المكبسلة,https://i.imgur.com/N6m18HG.jpeg,2024-09-15 14:29:08.925239+00,2024-09-15 14:29:08.925239+00,أكشن,false,false
838762f1-dd35-4cff-bd35-6f4923e6bf8d,الكابتن ماجد 3,https://i.imgur.com/rF9KCcu.jpeg,2024-08-19 13:53:20.960996+00,2024-08-19 13:53:20.960996+00,رياضة,true,false
84e79ba3-6efc-4290-a2e6-10146e800962,يوغي يو الجزء 5,https://i.imgur.com/st1xOWG.png,2024-09-15 12:01:58.046998+00,2024-09-15 12:01:58.046998+00,الصيصان,false,false
84efb354-b4f4-407b-950f-921e1841c948,طرائف هاني,https://i.imgur.com/bTnGMtR.jpeg,2024-08-29 10:51:16.983338+00,2024-08-29 10:51:16.983338+00,مغامرات,false,false
85175e68-0721-4e25-999f-272884cc818f,البدايات المضيئة,https://i.imgur.com/VCUEWyh.jpeg,2024-08-23 10:48:50.829377+00,2024-08-23 10:48:50.829377+00,مغامرات,false,false
856636eb-12cf-4696-9a44-5317880fcd25,سلاحف النينجا الجزء 4,https://i.imgur.com/ReRe9gR.png,2024-09-13 19:27:44.010851+00,2024-09-13 19:27:44.010851+00,مغامرات,false,false
85b0b2fe-81b2-401d-a4e3-bb782ee02eb9,أليس في بلاد العجائب الجزء 1,https://i.imgur.com/ocxtKXE.png,2024-09-04 10:11:21.636256+00,2024-09-04 10:11:21.636256+00,زمردة,true,false
868fd64f-9b9f-4b4d-aed7-fc9a233b4e48,عصابة الدالتون الجزء 2,https://i.imgur.com/Rzf7HNG.jpeg,2024-08-27 17:34:29.334581+00,2024-08-27 17:34:29.334581+00,مغامرات,true,false
86c17640-a851-4dbd-9814-3da4dbce2c74,سنان,https://i.imgur.com/alvmagM.jpeg,2024-08-20 00:08:52.871535+00,2024-08-20 00:08:52.871535+00,مغامرات,true,false
872ebaa4-4f30-4ece-bede-281e0475577f,حكايات جزيرة التنين,https://i.imgur.com/WpYTJm9.jpeg,2024-09-03 16:33:28.095173+00,2024-09-03 16:33:28.095173+00,مغامرات,true,false
873d165b-5ac0-43b9-aeef-51f309f0f533,الجزيرة الأولمبية,https://i.imgur.com/F6yNPP5.jpeg,2024-08-27 10:05:30.642969+00,2024-08-27 10:05:30.642969+00,مغامرات,true,false
8799ef3a-d02f-4b4f-b657-dca8f53bc7c4,المستكشفان,https://i.imgur.com/IDkW8z0.jpeg,2024-08-27 16:24:02.911334+00,2024-08-27 16:24:02.911334+00,مغامرات,false,false
87aff0e8-2c13-4b58-a87c-5abff788b406,التنين الأزرق,https://i.imgur.com/aQxZcFW.jpeg,2024-09-14 12:06:57.209592+00,2024-09-14 12:06:57.209592+00,مغامرات,false,false
87b6cba3-f890-48ce-ac0d-83e225bd66ff,السراب الجزء 1,https://i.imgur.com/KjLUhSd.png,2024-09-07 19:35:32.413241+00,2024-09-07 19:35:32.413241+00,زمردة,true,false
87bc1fa9-0d89-49b5-97ac-8f83a50c4c8d,بيلي و السيد هرهور,https://i.imgur.com/eF73pCP.png,2024-09-16 16:08:14.37469+00,2024-09-16 16:08:14.37469+00,الصيصان,false,false
87c369fb-aed0-4eb7-9ff2-aa26277e0c24,توب بليت,https://i.imgur.com/bureG6S.jpeg,2024-09-02 07:41:01.805759+00,2024-09-02 07:41:01.805759+00,رياضة,false,false
87dc33cf-9ebd-4489-b812-84a5ae7dd237,المكتشفون,https://i.imgur.com/BXRXpuG.jpeg,2024-08-26 20:41:22.674639+00,2024-08-26 20:41:22.674639+00,مغامرات,true,false
87e5d946-3ac9-4094-a7e4-17c0dcd79811,المزرعة,https://i.imgur.com/KIxZsZV.jpeg,2024-09-02 09:03:02.006494+00,2024-09-02 09:03:02.006494+00,زمردة,false,false
88581a55-ebed-4be3-a0c6-d5015c8bf003,مغامرات فريد,https://i.imgur.com/LGReSXB.jpeg,2024-08-30 21:35:16.917208+00,2024-08-30 21:35:16.917208+00,مغامرات,false,false
88a54e47-af6c-45e4-bbb9-e65cc4272cf5,الليث الأبيض الجزء 2,https://i.imgur.com/vltOMNC.jpeg,2024-09-04 13:19:50.139212+00,2024-09-04 13:19:50.139212+00,مغامرات,true,false
88f887e8-4308-404d-81f6-1d225ade74db,أبطال  الدراجات النارية,https://i.imgur.com/f8aFyQh.jpeg,2024-09-09 09:08:21.482126+00,2024-09-09 09:08:21.482126+00,رياضة,false,false
