id,seriesName,spisodeName,episodeImage,episodeLink,created_at,updated_at,Unnamed: 4
10122,English Cartoon,Where is The Lost STAR? - Cartoon Cars Cartoons for Kids,https://i.ytimg.com/vi/nXSJd41kx8k/maxresdefault.jpg,https://www.youtube.com/watch?v=nXSJd41kx8k,,2024-09-06 08:34:58.836+00,2024-09-06 08:34:58.836+20
10123,English Cartoon,What? - SNOWMAN in Summer? - Cartoon Cars Cartoons for Kids,https://i.ytimg.com/vi/j-ncFABQB84/maxresdefault.jpg,https://www.youtube.com/watch?v=j-ncFABQB84,,2024-09-06 08:34:58.836+00,2024-09-06 08:34:58.836+21
10124,English Cartoon,BOMB! - Will it Explode? - Cartoon Cars - Cartoons for Kids,https://i.ytimg.com/vi/-pV4-hPMX_Q/maxresdefault.jpg,https://www.youtube.com/watch?v=-pV4-hPMX_Q,,2024-09-06 08:34:58.836+00,2024-09-06 08:34:58.836+22
10125,English Cartoon,Cookie Thief - STILL HUNGRY? - Cartoon Cars for Kids!,https://i.ytimg.com/vi/KFBlxv3TEfE/maxresdefault.jpg,https://www.youtube.com/watch?v=KFBlxv3TEfE,,2024-09-06 08:34:58.836+00,2024-09-06 08:34:58.836+23
10126,English Cartoon,Catch the Cars! - WHY? - Cartoon Cars for Kids!,https://i.ytimg.com/vi/rLqDWRI_ID0/maxresdefault.jpg,https://www.youtube.com/watch?v=rLqDWRI_ID0,,2024-09-06 08:34:58.836+00,2024-09-06 08:34:58.836+24
10127,English Cartoon,WHEELS - Why do we need FOUR? - Cartoon Cars - Cartoons for Kids!,https://i.ytimg.com/vi/kZcAW6qGG84/maxresdefault.jpg,https://www.youtube.com/watch?v=kZcAW6qGG84,,2024-09-06 08:34:58.836+00,2024-09-06 08:34:58.836+25
10128,English Cartoon,CHASE ME! - What did Bad Car do? - Cartoon Cars for Kids,https://i.ytimg.com/vi/a9i9aMyT0Vs/maxresdefault.jpg,https://www.youtube.com/watch?v=a9i9aMyT0Vs,,2024-09-06 08:34:58.836+00,2024-09-06 08:34:58.836+26
10129,English Cartoon,LOST in MAZE! - Where is the Exit? - Cartoon Cars for Kids!,https://i.ytimg.com/vi/XrkrluFRn0E/maxresdefault.jpg,https://www.youtube.com/watch?v=XrkrluFRn0E,,2024-09-06 08:34:58.836+00,2024-09-06 08:34:58.836+27
10130,English Cartoon,COLOR SCHOOL! -What's wrong? - Cartoon Cars for Kids!,https://i.ytimg.com/vi/u4eDeJlWcFY/maxresdefault.jpg,https://www.youtube.com/watch?v=u4eDeJlWcFY,,2024-09-06 08:34:58.836+00,2024-09-06 08:34:58.836+28
10131,English Cartoon,iMPOSSİBLE TRAİN! - Cartoon Cars and Toy Trains for Kids!,https://i.ytimg.com/vi/-mR6ANj_QK0/maxresdefault.jpg,https://www.youtube.com/watch?v=-mR6ANj_QK0,,2024-09-06 08:34:58.836+00,2024-09-06 08:34:58.836+29
10132,English Cartoon,BANANA RACETRACK - What's wrong with Yellow Car? - Cartoon Cars for Kids!,https://i.ytimg.com/vi/7D2cX-o-6lM/maxresdefault.jpg,https://www.youtube.com/watch?v=7D2cX-o-6lM,,2024-09-06 08:34:58.836+00,2024-09-06 08:34:58.836+30
